,Reviewer Name,Restaurant Name,Rating,Tags
63,Alex J.,lucky boy,4.0,"Burgers, Breakfast & Brunch, Mexican"
64,Alex J.,tacos chapulin,4.0,"Tacos, Street Vendors"
65,Alex J.,wood ranch bbq & grill,2.0,"Barbeque, Bars, American (New)"
66,Alex J.,taco bell,1.0,"Tex-Mex, Fast Food, Mexican"
67,Alex J.,burrata house,5.0,"Sandwiches, Italian, Food Trucks"
68,Alex J.,oakobing,5.0,"Shaved Ice, Desserts, Korean"
69,Alex J.,katsu sando,2.0,"Sandwiches, Japanese Curry"
70,Alex J.,hatch yakitori + bar,4.0,"Japanese, Bars, Tapas/Small Plates"
71,Alex J.,garcons de cafe,4.0,"Wine Bars, French, Breakfast & Brunch"
72,Alex J.,wingstop,2.0,Chicken Wings
73,Alex J.,numero uno pizza,2.0,"Pizza, Italian"
74,Alex J.,del solar fish tacos,4.0,"Food Trucks, Seafood, Mexican"
75,Alex J.,rosie's bbq & grillery,5.0,"Barbeque, American (Traditional)"
76,Alex J.,bub's at the ballpark,4.0,"Sports Bars, Burgers, Chicken Wings"
77,Alex J.,el chingon bad ass mexican,1.0,"New Mexican Cuisine, Latin American, Mexican"
78,Alex J.,bj's restaurant & brewhouse,4.0,"American (New), Breweries, Pizza"
79,Alex J.,eureka!,4.0,American (Traditional)
80,Alex J.,laurel tavern,4.0,Gastropubs
81,Alex J.,oomasa restaurant,4.0,"Japanese, Sushi Bars, Noodles"
82,Alex J.,vchos truck,1.0,"Salvadoran, American (Traditional), Food Trucks"
83,Alex J.,el carrusel bakery,4.0,"Bakeries, Salvadoran"
84,Alex J.,patxi's pizza,1.0,"Pizza, Sandwiches, Breakfast & Brunch"
85,Alex J.,domingo's italian deli,4.0,"Grocery, Italian, Delis"
86,Alex J.,pier burger,3.0,Burgers
87,Alex J.,gyromania,2.0,"Greek, Modern European, Mediterranean"
88,Alex J.,kiwami by katsu-ya,5.0,"Japanese, Sushi Bars"
89,Alex J.,fatamorgana gelato,4.0,"Gelato, Coffee & Tea, Gluten-Free"
90,Alex J.,daikokuya little tokyo,5.0,"Ramen, Noodles"
91,Alex J.,kang ho-dong baekjeong,3.0,"Barbeque, Korean"
92,Alex J.,shawarma palace,2.0,"Food Stands, Middle Eastern, Mediterranean"
93,Alex J.,vino wine & tapas room,2.0,"Wine Bars, Tapas Bars, Spanish"
94,Alex J.,poseidon restaurant & lounge,3.0,"Mediterranean, Lounges"
95,Alex J.,stella barra pizzeria & wine bar,2.0,"Pizza, Italian, Bars"
96,Alex J.,26 beach restaurant,3.0,"American (New), Burgers, Breakfast & Brunch"
97,Alex J.,roma deli,4.0,"Italian, Delis, Sandwiches"
98,Alex J.,the sherman,4.0,"Cocktail Bars, American (New), American (Traditional)"
99,Alex J.,jurassic cafe,4.0,Latin American
100,Alex J.,the pie hole,4.0,"Desserts, Coffee & Tea, Comfort Food"
101,Alex J.,myungin dumplings,5.0,"Korean, Chicken Shop"
102,Alex J.,petrossian restaurant & boutique,5.0,"Russian, French, American (New)"
103,Alex J.,dog haus,4.0,"Burgers, American (Traditional), Breakfast & Brunch"
104,Alex J.,chick-fil-a,5.0,"Fast Food, Chicken Shop"
105,Alex J.,in-n-out burger,5.0,"Burgers, Fast Food"
106,Alex J.,pasta sisters,4.0,"Delis, Italian, Sandwiches"
107,Alex J.,boba bear,4.0,"Juice Bars & Smoothies, Hookah Bars, Sandwiches"
108,Alex J.,oscar's coffee,2.0,"Coffee & Tea, Food Stands"
109,Alex J.,the greeter's corner,1.0,"Burgers, American (Traditional), Breakfast & Brunch"
110,Alex J.,otium,5.0,American (New)
111,Alex J.,dave's hot chicken,2.0,"Chicken Shop, Halal"
112,Alex J.,el criollo bar & grill,2.0,"Cuban, Cocktail Bars, Caribbean"
113,Alex J.,& waffles,3.0,"Breakfast & Brunch, Waffles, Sandwiches"
114,Alex J.,angel's tijuana tacos,5.0,"Street Vendors, Tacos"
115,Alex J.,egg tuck,4.0,"Breakfast & Brunch, Coffee & Tea, Sandwiches"
116,Alex J.,wako donkasu,4.0,Korean
117,Alex J.,love you latte,3.0,"Breakfast & Brunch, Coffee & Tea, Sandwiches"
118,Alex J.,zhengyalov hatz,3.0,"Bakeries, Armenian"
119,Alex J.,zaatar factory and bakery,5.0,"Middle Eastern, Bakeries, Desserts"
120,Alex J.,auntie anne's pretzels,1.0,"Pretzels, Fast Food, Desserts"
121,Alex J.,gru's lab cafe,2.0,"Fast Food, Salad"
122,Alex J.,black tap,1.0,"Burgers, Chicken Wings, Cocktail Bars"
123,Alex J.,mcdonald's,1.0,"Burgers, Fast Food, Coffee & Tea"
124,Alex J.,bruxie,4.0,"Sandwiches, Waffles, Chicken Shop"
125,Alex J.,kat saka's kettle,5.0,"Food Stands, Popcorn Shops"
126,Alex J.,umami burger,4.0,"Burgers, American (New), Gastropubs"
127,Alex J.,blue ribbon corn dogs,2.0,"Food Stands, Hot Dogs"
128,Alex J.,taco bell,4.0,"Mexican, Fast Food"
129,Alex J.,red rose taverne,4.0,"Burgers, Pizza"
130,Alex J.,milk stand,5.0,Food Stands
131,Alex J.,napoli's pizza kitchen,5.0,"Pizza, Salad, Sandwiches"
132,Alex J.,lamplight lounge,4.0,"American (New), Vegetarian"
133,Alex J.,senor buzz churros,2.0,"Desserts, Food Stands"
134,Alex J.,bcd tofu house,3.0,Korean
135,Alex J.,ronto roasters,5.0,"Food Stands, Wraps"
136,Alex J.,red moon restaurant & lounge,3.0,"Mediterranean, Lounges"
137,Alex J.,fogo de chao brazilian steakhouse,1.0,"Steakhouses, Brazilian"
138,Alex J.,sol mexican cocina,4.0,"Mexican, Breakfast & Brunch, Bars"
139,Alex J.,tommy bahama restaurant | bar | store,4.0,"American (New), Seafood, Cocktail Bars"
140,Alex J.,black bear diner,1.0,"Diners, Breakfast & Brunch, American (Traditional)"
141,Alex J.,antojitos cocina mexicana,4.0,"Cocktail Bars, Mexican"
142,Alex J.,the federal,3.0,"American (New), Burgers, Sandwiches"
143,Alex J.,sushi katsu-ya northridge,5.0,"Japanese, Sushi Bars"
144,Alex J.,tipsy cow,4.0,"American (Traditional), Breakfast & Brunch, Cocktail Bars"
145,Alex J.,bao dim sum house,2.0,"Dim Sum, Bars, Tapas/Small Plates"
146,Alex J.,pink's hot dogs,1.0,Hot Dogs
147,Alex J.,claire's at the museum,3.0,"American (New), Breakfast & Brunch"
148,Alex J.,pho 22,1.0,Vietnamese
149,Alex J.,crave cafe studio city,1.0,"Cafes, Breakfast & Brunch, Sandwiches"
150,Alex J.,the local peasant,4.0,"Gastropubs, Bars, American (Traditional)"
151,Alex J.,zankou chicken,4.0,"Mediterranean, Armenian, Salad"
152,Alex J.,fishbowl poke co.,5.0,"Poke, Sushi Bars, Seafood"
153,Alex J.,barclays coffee and tea,4.0,"Coffee & Tea, Breakfast & Brunch"
154,Alex J.,somisomi,5.0,"Desserts, Ice Cream & Frozen Yogurt, Korean"
155,Alex J.,california pizza kitchen at topanga,4.0,"Pizza, American (New), Salad"
156,Alex J.,ballast point long beach,3.0,"Breweries, American (New)"
157,Alex J.,lucille's smokehouse bar-b-que,4.0,"Southern, Barbeque, Smokehouse"
158,Alex J.,san pedro fish market and restaurant,3.0,"Seafood, Seafood Markets, Karaoke"
159,Alex J.,mil hojas,4.0,"Mexican, Empanadas"
160,Alex J.,class 302 tea cafe,4.0,"Taiwanese, Cafes"
161,Alex J.,kopan sushi & ramen,4.0,Ramen
162,Alex J.,farm table,1.0,"Breakfast & Brunch, Coffee & Tea, Burgers"
163,Alex J.,kazunori | the original hand roll bar,5.0,"Sushi Bars, Japanese"
164,Alex J.,olive & thyme,2.0,"Sandwiches, Cafes, Breakfast & Brunch"
165,Alex J.,bodhi leaf coffee traders,4.0,"Coffee Roasteries, Coffee & Tea, Cafes"
166,Alex J.,umaichi ramen,3.0,Ramen
167,Alex J.,el tejano,2.0,"Tex-Mex, Sports Bars"
168,Alex J.,horchateria rio luna,4.0,"Desserts, Mexican, Coffee & Tea"
169,Alex J.,breadologie bakery,4.0,"Bakeries, Sandwiches, Coffee & Tea"
170,Alex J.,bill's hamburgers,4.0,Burgers
171,Alex J.,the winery restaurant & wine bar,2.0,"Wine Bars, Steakhouses"
172,Alex J.,aleppo's kitchen,3.0,"Mediterranean, Middle Eastern, Halal"
173,Alex J.,barcelona onthego,4.0,"Spanish, Food Trucks"
174,Alex J.,knafeh cafe,3.0,"Middle Eastern, Desserts, Bakeries"
175,Alex J.,little arabia lebanese bakery & cuisine,4.0,"Lebanese, Bakeries, Halal"
176,Alex J.,jolly holiday bakery cafe,5.0,"Bakeries, Cafes"
177,Alex J.,the tropical hideaway,5.0,"Ice Cream & Frozen Yogurt, Salad"
178,Alex J.,"the butcher, the baker, the cappuccino maker",2.0,"Breakfast & Brunch, Salad, Sandwiches"
179,Alex J.,wurstküche,3.0,"Hot Dogs, German, Gastropubs"
180,Alex J.,philz coffee,1.0,"Coffee & Tea, Breakfast & Brunch"
181,Alex J.,manuela,3.0,"American (New), Breakfast & Brunch, Bars"
182,Alex J.,epic taco truck,4.0,"Food Trucks, Tacos"
183,Alex J.,the loaf bakery and cafe,5.0,"Bakeries, Cafes"
184,Alex J.,hank's...a deli of sorts,2.0,"Coffee & Tea, Breakfast & Brunch, Bagels"
185,Alex J.,jersey mike's subs,4.0,"Sandwiches, Fast Food, Delis"
186,Alex J.,got sushi & king's burgers,5.0,"Burgers, Sushi Bars"
187,Alex J.,sugarfish by sushi nozawa,5.0,"Sushi Bars, Japanese"
188,Alex J.,pbj.la,3.0,"Vegan, Vegetarian, Sandwiches"
189,Alex J.,aroma coffee & tea,2.0,"Coffee & Tea, Sandwiches, Breakfast & Brunch"
190,Alex J.,the front yard,2.0,"Tapas/Small Plates, American (New), Breakfast & Brunch"
191,Alex J.,sun nong dan,2.0,"Korean, Soup"
192,Alex J.,chinchikurin,5.0,Japanese
193,Alex J.,lucky bird,3.0,"American (Traditional), Chicken Shop, American (New)"
194,Alex J.,eggslut,5.0,"Breakfast & Brunch, Sandwiches"
195,Alex J.,the taco stand,5.0,"Food Stands, Mexican"
196,Alex J.,the taco stand,5.0,Mexican
197,Alex J.,coin-op gaslamp,5.0,"Pizza, Cocktail Bars, Arcades"
198,Alex J.,gyromania,4.0,"Greek, Mediterranean"
199,Alex J.,naples ristorante e bar,4.0,"Italian, Venues & Event Spaces, Pizza"
200,Alex J.,docking bay 7 food and cargo,5.0,American (New)
201,Alex J.,vegas seafood buffet,1.0,"Buffets, Seafood, Sushi Bars"
202,Alex J.,western bagel,5.0,"Bakeries, Bagels, Sandwiches"
203,Alex J.,thien huong restaurant,5.0,Vietnamese
204,Alex J.,rice & nori,5.0,Japanese
205,Alex J.,asadas el infierno,2.0,"Tacos, Food Stands"
206,Alex J.,板前寿司 新宿東宝ビル店,2.0,"Sushi Bars, Seafood, Izakaya"
207,Alex J.,din tai fung,2.0,"Shanghainese, Dim Sum, Taiwanese"
208,Alex J.,blue sky miso kitchen,4.0,"Japanese, Cafeteria, Canteen"
209,Alex J.,mcdonald's shinjuku nishiguchi,2.0,"Fast Food, Burgers"
210,Alex J.,saigon deli,2.0,"Vietnamese, Sandwiches"
211,Alex J.,churros calientes,2.0,"Cafes, Desserts, Sandwiches"
212,Alex J.,eastside italian deli,1.0,"Italian, Delis, Sandwiches"
213,Alex J.,belgium waffle haus,4.0,"Coffee & Tea, Juice Bars & Smoothies, Sandwiches"
214,Alex J.,blue daisy,1.0,"Creperies, Breakfast & Brunch, American (New)"
215,Alex J.,pho so 1,4.0,Vietnamese
216,Alex J.,zaza's cuban cafe,4.0,"Coffee & Tea, Cuban, Bagels"
217,Alex J.,el cuñado,2.0,Tacos
218,Alex J.,northridge fish & chips,4.0,Fish & Chips
219,Alex J.,red fish blue fish,5.0,"Fish & Chips, Food Stands, Seafood"
220,Alex J.,beecher's handmade cheese,4.0,"Cheese Shops, Sandwiches"
221,Alex J.,ivar's fish bar,1.0,"Seafood, Fast Food, Fish & Chips"
222,Alex J.,pike place chowder,2.0,"Seafood, Soup"
223,Alex J.,serious pie,5.0,"Pizza, Salad, Bars"
224,Alex J.,buon appetito,4.0,Italian
225,Alex J.,howlin' ray's,5.0,"Southern, Chicken Shop, American (Traditional)"
226,Alex J.,all american bbq,3.0,"Barbeque, Burgers, Tex-Mex"
227,Alex J.,cafe 949,5.0,"Seafood, Coffee & Tea, Noodles"
228,Alex J.,beach live fish restaurant,4.0,"Korean, Sushi Bars"
229,Alex J.,taco bell,3.0,"Fast Food, Mexican"
230,Alex J.,pizza hut,3.0,"Pizza, Chicken Wings, Fast Food"
231,Alex J.,bar celona,1.0,"Tapas Bars, Lounges, Spanish"
232,Alex J.,sorriso,1.0,"Seafood, Italian, Steakhouses"
233,Alex J.,gen korean bbq house,3.0,"Korean, Barbeque, Asian Fusion"
234,Alex J.,tgi fridays,1.0,"American (Traditional), Sports Bars, Burgers"
235,Alex J.,salsa & beer,5.0,"Mexican, Beer Bar"
236,Alex J.,urth caffé- downtown la,5.0,"Coffee & Tea, Desserts, Sandwiches"
237,Alex J.,frank's weiler's deli,5.0,"Delis, Bakeries, Bagels"
238,Alex J.,anejo cantina and grill,3.0,"Mexican, Cocktail Bars"
239,Alex J.,birrieria san marcos,3.0,"Mexican, Food Trucks"
240,Alex J.,r coffee house,2.0,"Coffee & Tea, Breakfast & Brunch"
241,Alex J.,q&q hawaiian bbq,5.0,"Hawaiian, Barbeque"
242,Alex J.,lucille's smokehouse bar-b-que,3.0,"Barbeque, Southern, Smokehouse"
243,Alex J.,furnsaj bakery & restaurant,5.0,"Bakeries, Lebanese, Falafel"
244,Alex J.,ike's love & sandwiches,4.0,Sandwiches
245,Alex J.,jack in the box,3.0,"Fast Food, Burgers, Tacos"
246,Alex J.,ichiban of tokyo,2.0,Japanese
247,Alex J.,panda express,4.0,"Chinese, Fast Food"
248,Alex J.,the carving board,4.0,"Cafes, Sandwiches"
249,Alex J.,café santorini,2.0,Mediterranean
250,Alex J.,takatis,4.0,Peruvian
251,Alex J.,hongkong banjum by paik's noodle,5.0,"Korean, Noodles, Chinese"
252,Alex J.,happy days cafe,3.0,"Desserts, Coffee & Tea, Gluten-Free"
253,Alex J.,petit trois,5.0,French
254,Alex J.,chick me out,3.0,"Mediterranean, Middle Eastern, Salad"
255,Alex J.,hawaiian hot chicken,2.0,"Hawaiian, Chicken Shop"
256,Alex J.,the habit burger grill,4.0,"Burgers, Sandwiches, Salad"
257,Alex J.,in-n-out burger,5.0,"Fast Food, Burgers"
258,Alex J.,chi's chinese cuisine,4.0,"Chinese, Noodles, Soup"
259,Alex J.,zankou chicken,5.0,"Armenian, Mediterranean, Salad"
260,Alex J.,wingstop,4.0,Chicken Wings
261,Alex J.,hodad's,5.0,Burgers
262,Alex J.,the crack shack,2.0,"American (New), Sandwiches, Chicken Shop"
263,Alex J.,jamba,4.0,"Juice Bars & Smoothies, Sandwiches"
264,Alex J.,yard house,4.0,"Vegetarian, Bars, American (New)"
265,Alex J.,tivoli bar & grill,1.0,"Dive Bars, Barbeque, Sports Bars"
266,Alex J.,copa vida,1.0,"Cafes, Coffee & Tea, American (New)"
267,Alex J.,zankou chicken,4.0,"Armenian, Mediterranean, Salad"
268,Alex J.,donut bar,4.0,"Breakfast & Brunch, Donuts, Beer Bar"
269,Alex J.,another broken egg cafe,4.0,"Breakfast & Brunch, Cafes, American (Traditional)"
270,Alex J.,king taco,2.0,Mexican
271,Alex J.,asahi sushi,2.0,"Sushi Bars, Japanese, Asian Fusion"
272,Alex J.,bulgogi hut,3.0,"Korean, Barbeque, Asian Fusion"
273,Alex J.,sura korean bbq & tofu house,5.0,"Korean, Vegan, Gastropubs"
274,Alex J.,deep sea poke,4.0,"Poke, Hawaiian, Sushi Bars"
275,Alex J.,barney's beanery,3.0,"Breakfast & Brunch, Gastropubs, Sandwiches"
276,Alex J.,king's row gastropub,4.0,"Gastropubs, American (New), Sports Bars"
277,Alex J.,lima limón peruvian restaurant,4.0,Peruvian
278,Alex J.,guisados,3.0,Mexican
279,Alex J.,puro sabor,3.0,"Latin American, Peruvian, Seafood"
280,Alex J.,johnny pacific,5.0,"Latin American, Empanadas"
281,Alex J.,los toros mexican restaurant,2.0,Mexican
282,Alex J.,bunker hill rock ‘n pizza,1.0,"Sports Bars, Pizza, American (Traditional)"
283,Alex J.,kabuki japanese restaurant,2.0,"Sushi Bars, Japanese, Asian Fusion"
284,Alex J.,everest burgers,4.0,"American (Traditional), Burgers, Sandwiches"
285,Alex J.,dink's deli & bagel bakery,4.0,"Delis, Bagels, Sandwiches"
286,Alex J.,pier 76 fish grill,5.0,"Seafood, American (New), Sandwiches"
287,Alex J.,three broomsticks,5.0,British
288,Alex J.,costco food court,5.0,"Pizza, American (Traditional), Fast Food"
289,Alex J.,solita tacos & margaritas,1.0,"Mexican, Bars, Breakfast & Brunch"
290,Alex J.,naked city pizza on paradise,4.0,"Pizza, Sandwiches, Tacos"
291,Alex J.,le thai,4.0,"Thai, Beer Gardens"
292,Alex J.,wicked spoon,3.0,"Buffets, Breakfast & Brunch"
293,Alex J.,rustic spoon,5.0,"Thai, Vietnamese, Noodles"
294,Alex J.,wanderlust creamery,4.0,"Ice Cream & Frozen Yogurt, Coffee & Tea, Breakfast & Brunch"
295,Alex J.,fu's palace,2.0,Chinese
296,Alex J.,villa moreliana,5.0,Mexican
297,Alex J.,somisomi,4.0,"Desserts, Ice Cream & Frozen Yogurt, Korean"
298,Alex J.,krusty burger,2.0,Burgers
299,Alex J.,los tres hermanos,2.0,"Mexican, Breakfast & Brunch, Sports Bars"
300,Alex J.,belly bombz food truck,5.0,"Chicken Wings, Food Trucks"
301,Alex J.,belly bombz,5.0,"Food Trucks, Chicken Wings, Korean"
302,Alex J.,belly bombz wings truck & catering,5.0,"Food Trucks, Korean"
303,Alex J.,chipotle mexican grill,1.0,"Mexican, Fast Food"
304,Alex J.,mcdonald's,4.0,"Fast Food, Burgers, Coffee & Tea"
305,Alex J.,sushi yuzu,4.0,"Sushi Bars, Japanese"
306,Alex J.,papillon international bakery,4.0,"Desserts, Comfort Food, Bakeries"
307,Alex J.,panera bread,1.0,"Sandwiches, Salad, Soup"
308,Alex J.,the malibu cafe,2.0,"American (New), Salad, Sandwiches"
309,Alex J.,la tostaderia,2.0,"Seafood, Mexican"
310,Alex J.,orochon ramen,1.0,"Ramen, Noodles, Soup"
311,Alex J.,lola's baja tacos,5.0,"Seafood, Mexican"
312,Alex J.,europane,4.0,"Bakeries, Cafes, Juice Bars & Smoothies"
313,Alex J.,yard house,4.0,"Bars, American (New), Vegetarian"
314,Alex J.,amara chocolate & coffee,4.0,"Coffee & Tea, Venezuelan, Breakfast & Brunch"
315,Alex J.,pieology pizzeria,1.0,"Pizza, Fast Food"
316,Alex J.,manchego,5.0,"Spanish, Tapas Bars"
317,Alex J.,shiki sushi,4.0,"Sushi Bars, Japanese, Asian Fusion"
318,Alex J.,kopan sushi & ramen- northridge,5.0,"Sushi Bars, Ramen"
319,Alex J.,agua chiles sushi bar,1.0,"Sushi Bars, Asian Fusion, Japanese"
320,Alex J.,ohbella gelato & crepe cafe,2.0,"Coffee & Tea, Gelato, Creperies"
321,Alex J.,kfc,2.0,"Fast Food, Chicken Wings, Chicken Shop"
322,Alex J.,sipan bakery,3.0,"Bakeries, Middle Eastern, Armenian"
323,Alex J.,626 night market,4.0,"Food Stands, Festivals, Food Trucks"
324,Alex J.,workaholic,5.0,"Korean, Caterers"
325,Alex J.,shin-sen-gumi hakata ramen,4.0,"Ramen, Japanese Curry, Tapas/Small Plates"
326,Alex J.,yum yum donuts,2.0,"Donuts, Coffee & Tea, Sandwiches"
327,Alex J.,chronic tacos,2.0,"Mexican, Gluten-Free, Tapas/Small Plates"
328,Alex J.,buffalo wild wings,1.0,"Sports Bars, Chicken Wings, American (Traditional)"
329,Alex J.,jersey mike's subs,4.0,"Fast Food, Delis, Sandwiches"
330,Alex J.,little caesars pizza,2.0,"Pizza, Fast Food"
331,Alex J.,la lasagna,2.0,"Italian, Salad, Pizza"
332,Alex J.,h2o sushi & izakaya,2.0,"Japanese, Sushi Bars"
333,Alex J.,kogiya 2 korean bbq,2.0,"Barbeque, Korean"
334,Alex J.,c'est la vie,1.0,"French, Bakeries, Breakfast & Brunch"
335,Alex J.,havana 1957 cuban cuisine ocean drive,4.0,"Cuban, Bars"
336,Alex J.,puerto sagua restaurant,5.0,"Cuban, American (New)"
337,Alex J.,la camaronera seafood joint & fish market,4.0,"Seafood, Seafood Markets, Food Stands"
338,Alex J.,versailles restaurant,5.0,"Cuban, Coffee & Tea, Latin American"
339,Alex J.,olive garden italian restaurant,3.0,"Italian, Salad, Soup"
340,Alex J.,richard walker's pancake house,4.0,"Breakfast & Brunch, Coffee & Tea, Waffles"
341,Alex J.,gaslamp pizza,3.0,"Pizza, Italian, Sandwiches"
342,Alex J.,basic bar & pizza,4.0,"Pizza, Bars, Venues & Event Spaces"
343,Alex J.,cine' cafe',4.0,"Coffee & Tea, Sandwiches"
344,Alex J.,pappalecco,5.0,"Sandwiches, Coffee & Tea, Gelato"
345,Alex J.,corner bakery cafe,4.0,"Coffee & Tea, Breakfast & Brunch, Sandwiches"
346,Alex J.,old town tequila factory,1.0,"Mexican, Bars"
347,Alex J.,tanota takoyaki,1.0,"Japanese, Street Vendors"
348,Alex J.,quiznos,1.0,"Sandwiches, Delis"
349,Alex J.,kimbob-rex,4.0,"Sushi Bars, Food Trucks"
350,Alex J.,porto's bakery & cafe,4.0,"Bakeries, Cafes, Custom Cakes"
351,Alex J.,paradise cove beach cafe,1.0,"American (Traditional), Cocktail Bars, Breakfast & Brunch"
352,Alex J.,ameci pizza & pasta,2.0,"Pizza, Italian, Chicken Wings"
353,Alex J.,bubba gump shrimp,1.0,"Seafood, Southern"
354,Alex J.,meat up bbq food truck,2.0,"Food Trucks, Barbeque"
355,Alex J.,jimmy buffett's margaritaville,3.0,"Bars, American (New), Music Venues"
356,Alex J.,sol y luna,1.0,"Mexican, Cocktail Bars"
357,Alex J.,hash house a go go,1.0,"American (New), Breakfast & Brunch"
358,Alex J.,sports deli,1.0,"Delis, Cafes, Sandwiches"
359,Alex J.,avenue cafe,1.0,"Bars, American (Traditional)"
360,Alex J.,all-american bar and grille,2.0,"Sports Bars, American (Traditional), Burgers"
361,Alex J.,gordon ramsay burger,5.0,Burgers
362,Alex J.,the mad greek,2.0,"Greek, Mediterranean, Fast Food"
363,Alex J.,sticky rice,4.0,Thai
364,Alex J.,bj's restaurant & brewhouse,3.0,"Pizza, Breweries, American (New)"
365,Alex J.,panera bread,5.0,"Sandwiches, Salad, Soup"
366,Alex J.,pho king awesome,1.0,"Food Trucks, Taiwanese, Cambodian"
367,Alex J.,secret pizza,5.0,Pizza
368,Alex J.,kogi bbq truck- roja,5.0,"Barbeque, Food Trucks"
369,Alex J.,kogi bbq truck,5.0,"Korean, Mexican, Food Trucks"
370,Alex J.,kogi bbq truck,5.0,"Korean, Food Trucks, Barbeque"
371,Alex J.,holsteins,4.0,"Burgers, American (Traditional), Bars"
372,Alex J.,the loft hawaiian restaurant,4.0,Hawaiian
